"Name";"DisplayName";"Description";"Group";"Enabled";"Profile";"Platform";"Direction";"Action";"EdgeTraversalPolicy";"LooseSourceMapping";"LocalOnlyMapping";"Owner";"LocalAddress";"RemoteAddress";"Protocol";"LocalPort";"RemotePort";"IcmpType";"DynamicTarget";"Program";"Package";"Service";"InterfaceAlias";"InterfaceType";"LocalUser";"RemoteUser";"RemoteMachine";"Authentication";"Encryption";"OverrideBlockRules"
"NETDIS-LLMNR-In-UDP";"Network Discovery (LLMNR-UDP-In)";"Inbound rule for Network Discovery to allow Link Local Multicast Name Resolution. [UDP 5355]";"@FirewallAPI.dll,-32752";"False";"Domain, Public";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"LocalSubnet";"UDP";"5355";"Any";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"dnscache";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RemoteDesktop-In-TCP-WS";"Remote Desktop - (TCP-WS-In)";"Inbound rule for the Remote Desktop service to allow RDP over WebSocket traffic. [TCP 3387]";"@FirewallAPI.dll,-28782";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"3387";"Any";"Any";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"SNMPTRAP-In-UDP";"SNMP Trap Service (UDP In)";"Inbound rule for the SNMP Trap Service to allow SNMP traps. [UDP 162]";"@firewallapi.dll,-50323";"False";"Private, Public";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"LocalSubnet";"UDP";"162";"Any";"Any";"";"%SystemRoot%\system32\snmptrap.exe";"";"SNMPTRAP";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RemoteEventLogSvc-NP-In-TCP";"Remote Event Log Management (NP-In)";"Inbound rule for the local Event Log service to be remotely managed over Named Pipes.";"@FirewallAPI.dll,-29252";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"445";"Any";"Any";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"DeliveryOptimization-UDP-In";"Delivery Optimization (UDP-In)";"Inbound rule to allow Delivery Optimization to connect to remote endpoints";"@%systemroot%\system32\dosvc.dll,-100";"True";"Any";"";"Inbound";"Allow";"Allow";"False";"False";"";"Any";"Any";"UDP";"7680";"Any";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"dosvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"MDNS-Out-UDP-Domain-Active";"mDNS (UDP-Out)";"Outbound rule for mDNS traffic [UDP]";"@%SystemRoot%\system32\firewallapi.dll,-37302";"True";"Domain";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"Any";"UDP";"Any";"5353";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"dnscache";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"Microsoft-Windows-PeerDist-WSD-In";"BranchCache Peer Discovery (WSD-In)";"Inbound rule for BranchCache to allow peer discovery [UDP 3702]";"@peerdistsh.dll,-9001";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"LocalSubnet";"UDP";"3702";"Any";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"PeerDistSvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"PlayTo-In-UDP-LocalSubnetScope";"Cast to Device streaming server (RTCP-Streaming-In)";"Inbound rule for the Cast to Device server to allow streaming using RTSP and RTP. [UDP]";"@FirewallAPI.dll,-36001";"True";"Private";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"LocalSubnet";"UDP";"Any";"Any";"Any";"";"%SystemRoot%\system32\mdeserver.exe";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-PP-Out";"Core Networking - Parameter Problem (ICMPv6-Out)";"Parameter Problem error messages are sent by nodes as a result of incorrectly generated packets.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"Any";"ICMPv6";"RPC";"Any";"4";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-RA-In";"Core Networking - Router Advertisement (ICMPv6-In)";"Router Advertisement messages are sent by routers to other nodes for stateless auto-configuration.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"fe80::/64";"ICMPv6";"RPC";"Any";"134";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP4-DUFRAG-In";"Core Networking - Destination Unreachable Fragmentation Needed (ICMPv4-In)";"Destination Unreachable Fragmentation Needed error messages are sent from any node that a packet traverses which is unable to forward the packet because fragmentation was needed and the don't fragment bit was set.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"ICMPv4";"RPC";"Any";"3:4";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-DHCP-In";"Core Networking - Dynamic Host Configuration Protocol (DHCP-In)";"Allows DHCP (Dynamic Host Configuration Protocol) messages for stateful auto-configuration.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"UDP";"68";"67";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"dhcp";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RRAS-GRE-In";"Routing and Remote Access (GRE-In)";"Inbound rule for RRAS to allow Generic Routing Encapsulation Protocol traffic.";"@FirewallAPI.dll,-33752";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"47";"Any";"Any";"Any";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"TPMVSCMGR-RPCSS-In-TCP-NoScope";"TPM Virtual Smart Card Management (DCOM-In)";"Inbound rule for remote TPM Virtual Smart Card Management to allow DCOM activation. [TCP 135]";"@FirewallAPI.dll,-36501";"False";"Domain";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"135";"Any";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"rpcss";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"FPS-SpoolSvc-In-TCP";"File and Printer Sharing (Spooler Service - RPC)";"Inbound rule for File and Printer Sharing to allow the Print Spooler Service to communicate via TCP/RPC.";"@FirewallAPI.dll,-28502";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"RPC";"Any";"Any";"";"%SystemRoot%\system32\spoolsv.exe";"";"Spooler";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"PlayTo-Out-UDP-PlayToScope";"Cast to Device streaming server (RTP-Streaming-Out)";"Outbound rule for the Cast to Device server to allow streaming using RTSP and RTP. [UDP]";"@FirewallAPI.dll,-36001";"True";"Public";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"PlayToDevice";"UDP";"Any";"Any";"Any";"";"%SystemRoot%\system32\mdeserver.exe";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"FPS-SMBQ-Out-UDP";"File and Printer Sharing (SMB-QUIC-Out)";"Outbound rule for File and Printer Sharing to allow Server Message Block transmission and reception via Winquic. [UDP 443]";"@FirewallAPI.dll,-28652";"False";"Any";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"Any";"UDP";"Any";"443";"Any";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-DHCPV6-In";"Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-In)";"Allows DHCPV6 (Dynamic Host Configuration Protocol for IPv6) messages for stateful and stateless configuration.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"UDP";"546";"547";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"dhcp";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"MSDTC-KTMRM-In-TCP";"Distributed Transaction Coordinator (RPC)";"Inbound rule for the Kernel Transaction Resource Manager for Distributed Transaction Coordinator service to be remotely managed via RPC/TCP.";"@FirewallAPI.dll,-33502";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"RPC";"Any";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"ktmrm";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"PlayTo-Out-UDP-LocalSubnetScope";"Cast to Device streaming server (RTP-Streaming-Out)";"Outbound rule for the Cast to Device server to allow streaming using RTSP and RTP. [UDP]";"@FirewallAPI.dll,-36001";"True";"Private";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"LocalSubnet";"UDP";"Any";"Any";"Any";"";"%SystemRoot%\system32\mdeserver.exe";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"FPS-ICMP4-ERQ-Out";"File and Printer Sharing (Echo Request - ICMPv4-Out)";"Echo Request messages are sent as ping requests to other nodes.";"@FirewallAPI.dll,-28502";"False";"Any";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"Any";"ICMPv4";"RPC";"Any";"8";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"Wininit-Shutdown-In-Rule-TCP-RPC";"Inbound Rule for Remote Shutdown (TCP-In)";"Inbound rule for the Remote Shutdown via dynamic RPC/TCP.";"@firewallapi.dll,-36751";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"RPC";"Any";"Any";"";"%SystemRoot%\system32\wininit.exe";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"NETDIS-UPnP-Out-TCP";"Network Discovery (UPnPHost-Out)";"Outbound rule for Network Discovery to allow use of Universal Plug and Play. [TCP]";"@FirewallAPI.dll,-32752";"False";"Domain, Public";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"LocalSubnet";"TCP";"Any";"2869";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"upnphost";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"MsiScsi-Out-TCP";"iSCSI Service (TCP-Out)";"Outbound rule for the iSCSI Service to allow communications with an iSCSI server or device. [TCP]";"@FirewallAPI.dll,-29002";"False";"Any";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"Any";"Any";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"Msiscsi";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"PlayTo-In-UDP-NoScope";"Cast to Device streaming server (RTCP-Streaming-In)";"Inbound rule for the Cast to Device server to allow streaming using RTSP and RTP. [UDP]";"@FirewallAPI.dll,-36001";"True";"Domain";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"UDP";"Any";"Any";"Any";"";"%SystemRoot%\system32\mdeserver.exe";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"FPS-SMB-Out-TCP";"File and Printer Sharing (SMB-Out)";"Outbound rule for File and Printer Sharing to allow Server Message Block transmission and reception via Named Pipes. [TCP 445]";"@FirewallAPI.dll,-28502";"False";"Any";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"Any";"445";"Any";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"Microsoft-Windows-PeerDist-HostedServer-In";"BranchCache Hosted Cache Server (HTTP-In)";"Inbound rule for BranchCache to allow communication between a hosted cache and its clients [TCP]";"@peerdistsh.dll,-9002";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"80,443";"Any";"Any";"";"SYSTEM";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-RS-Out";"Core Networking - Router Solicitation (ICMPv6-Out)";"Router Solicitation messages are sent by nodes seeking routers to provide stateless auto-configuration.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"LocalSubnet6,ff02::2,fe80::/64";"ICMPv6";"RPC";"Any";"133";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-NDS-In";"Core Networking - Neighbor Discovery Solicitation (ICMPv6-In)";"Neighbor Discovery Solicitations are sent by nodes to discover the link-layer address of another on-link IPv6 node.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Allow";"False";"False";"";"Any";"Any";"ICMPv6";"RPC";"Any";"135";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"EventForwarder-RPCSS-In-TCP";"Remote Event Monitor (RPC-EPMAP)";"Inbound rule for the RPCSS service to allow RPC/TCP traffic for remote event monitoring.";"@FirewallAPI.dll,-36801";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"RPCEPMap";"Any";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"RPCSS";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"PlayTo-In-RTSP-NoScope";"Cast to Device streaming server (RTSP-Streaming-In)";"Inbound rule for the Cast to Device server to allow streaming using RTSP and RTP. [TCP 23554, 23555, 23556]";"@FirewallAPI.dll,-36001";"True";"Domain";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"23554,23555,23556";"Any";"Any";"";"%SystemRoot%\system32\mdeserver.exe";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RVM-RPCSS-In-TCP";"Remote Volume Management (RPC-EPMAP)";"Inbound rule for the RPCSS service to allow RPC/TCP traffic for Remote Volume Management.";"@FirewallAPI.dll,-34501";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"RPCEPMap";"Any";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"RPCSS";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"NVS-FrameServer-In-UDP-NoScope";"Microsoft Media Foundation Network Source IN [UDP 5004-5009]";"InBound Rule for the Microsoft Media Foundation's Capture SVC to open UDP port to enable RTSP";"@FirewallAPI.dll,-54001";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"LocalSubnet";"UDP";"5000-5020";"Any";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"FrameServer";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-LR2-Out";"Core Networking - Multicast Listener Report v2 (ICMPv6-Out)";"Multicast Listener Report v2 message is used by a listening node to either immediately report its interest in receiving multicast traffic at a specific multicast address or in response to a Multicast Listener Query.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"LocalSubnet6";"ICMPv6";"RPC";"Any";"143";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-Diag-ICMP6-EchoRequest-Out";"Core Networking Diagnostics - ICMP Echo Request (ICMPv6-Out)";"ICMP Echo Request messages are sent as ping requests to other nodes.";"@FirewallAPI.dll,-27000";"False";"Private, Public";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"LocalSubnet6";"ICMPv6";"RPC";"Any";"128";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"EventForwarder-In-TCP";"Remote Event Monitor (RPC)";"Inbound rule for remote event monitoring via RPC/TCP.";"@FirewallAPI.dll,-36801";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"RPC";"Any";"Any";"";"%SystemRoot%\system32\NetEvtFwdr.exe";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"Microsoft-Windows-Enrollment-WinRT-TCP-Out";"Windows Device Management Enrollment Service (TCP out)";"Allow outbound TCP traffic from Windows Device Management Enrollment Service";"@FirewallAPI.dll,-37502";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"Any";"Any";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"DmEnrollmentSvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"SNMPTRAP-In-UDP-NoScope";"SNMP Trap Service (UDP In)";"Inbound rule for the SNMP Trap Service to allow SNMP traps. [UDP 162]";"@firewallapi.dll,-50323";"False";"Domain";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"UDP";"162";"Any";"Any";"";"%SystemRoot%\system32\snmptrap.exe";"";"SNMPTRAP";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"WMI-ASYNC-In-TCP";"Windows Management Instrumentation (ASync-In)";"Inbound rule to allow Asynchronous WMI traffic for remote Windows Management Instrumentation. [TCP]";"@FirewallAPI.dll,-34251";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"Any";"Any";"Any";"";"%SystemRoot%\system32\wbem\unsecapp.exe";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-Diag-ICMP4-EchoRequest-Out-NoScope";"Core Networking Diagnostics - ICMP Echo Request (ICMPv4-Out)";"ICMP Echo Request messages are sent as ping requests to other nodes.";"@FirewallAPI.dll,-27000";"False";"Domain";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"Any";"ICMPv4";"RPC";"Any";"8";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"MDNS-Out-UDP-Public-Active";"mDNS (UDP-Out)";"Outbound rule for mDNS traffic [UDP]";"@%SystemRoot%\system32\firewallapi.dll,-37302";"True";"Public";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"LocalSubnet";"UDP";"Any";"5353";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"dnscache";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"WMI-WINMGMT-In-TCP";"Windows Management Instrumentation (WMI-In)";"Inbound rule to allow WMI traffic for remote Windows Management Instrumentation. [TCP]";"@FirewallAPI.dll,-34251";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"Any";"Any";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"winmgmt";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"WINRM-HTTP-In-TCP";"Windows Remote Management (HTTP-In)";"Inbound rule for Windows Remote Management via WS-Management. [TCP 5985]";"@FirewallAPI.dll,-30267";"True";"Domain, Private";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"5985";"Any";"Any";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"PlayTo-QWave-In-UDP-PlayToScope";"Cast to Device functionality (qWave-UDP-In)";"Inbound rule for the Cast to Device functionality to allow use of the Quality Windows Audio Video Experience Service. [UDP 2177]";"@FirewallAPI.dll,-36001";"True";"Private, Public";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"PlayToDevice";"UDP";"2177";"Any";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"Qwave";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RemoteFwAdmin-RPCSS-In-TCP";"Windows Defender Firewall Remote Management (RPC-EPMAP)";"Inbound rule for the RPCSS service to allow RPC/TCP traffic for the Windows Defender Firewall.";"@FirewallAPI.dll,-30002";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"RPCEPMap";"Any";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"RPCSS";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"PerfLogsAlerts-PLASrv-In-TCP";"Performance Logs and Alerts (TCP-In)";"Inbound rule for Performance Logs and Alerts traffic. [TCP-In]";"@FirewallAPI.dll,-34752";"False";"Private, Public";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"LocalSubnet";"TCP";"Any";"Any";"Any";"";"%SystemRoot%\system32\plasrv.exe";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"DeliveryOptimization-TCP-In";"Delivery Optimization (TCP-In)";"Inbound rule to allow Delivery Optimization to connect to remote endpoints";"@%systemroot%\system32\dosvc.dll,-100";"True";"Any";"";"Inbound";"Allow";"Allow";"False";"False";"";"Any";"Any";"TCP";"7680";"Any";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"dosvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"NETDIS-NB_Name-In-UDP";"Network Discovery (NB-Name-In)";"Inbound rule for Network Discovery to allow NetBIOS Name Resolution. [UDP 137]";"@FirewallAPI.dll,-32752";"False";"Domain, Public";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"UDP";"137";"Any";"Any";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"Microsoft-Windows-DeviceManagement-CertificateInstall-TCP-Out";"Windows Device Management Certificate Installer (TCP out)";"Allow outbound TCP traffic from Windows Device Management Certificate Installer";"@FirewallAPI.dll,-37502";"True";"Any";"";"Outbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"Any";"Any";"Any";"";"%SystemRoot%\system32\dmcertinst.exe";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"vm-monitoring-rpc";"Virtual Machine Monitoring (RPC)";"Allow Task Scheduler service to be remotely managed via RPC/TCP.";"@%SystemRoot%\system32\icsvc.dll,-700";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"TCP";"RPC";"Any";"Any";"";"%SystemRoot%\system32\svchost.exe";"";"Schedule";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"FPS-NB_Name-In-UDP";"File and Printer Sharing (NB-Name-In)";"Inbound rule for File and Printer Sharing to allow NetBIOS Name Resolution. [UDP 137]";"@FirewallAPI.dll,-28502";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";"";"Any";"Any";"UDP";"137";"Any";"Any";"";"System";"";"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
